from,amount,to
357,"$1,255.93",328

121,$364.33,281

34,$717.02,81

368,"$1,833.83",87

93,"$2,403.07",480

176,$729.37,21

211,"$2,650.90",328

479,"$4,500.57",255

481,$941.77,61

455,"$1,099.84",343

488,"$4,490.94",233

36,"$1,105.15",91

471,"$1,784.86",107

19,$503.45,305

470,$926.98,450

349,$396.20,347

136,$168.33,441

454,"$1,787.37",291

138,"$2,014.38",417

322,"$1,334.30",412

468,"$1,178.74",55

75,"$4,025.31",167

243,$133.97,311

94,"$2,039.42",180

116,"$2,184.03",79

335,"$1,120.03",141

306,"$1,306.60",168

57,"$1,482.89",352

395,$898.93,274

459,"$2,670.94",16

40,"$1,136.89",407

140,$991.99,250

12,"$21,450.21",331

323,"$2,099.13",107

250,$439.15,158

194,"$2,472.66",184

256,$672.94,498

32,$590.02,273

52,$535.42,263

219,"$1,844.11",141

214,"$2,059.90",424

14,$712.87,111

10,$233.89,181

198,"$1,585.33",333

133,$363.28,468

248,"$2,204.99",83

277,"$2,951.51",302

133,$499.12,166

301,"$1,564.41",20

222,$795.56,467

248,"$1,215.30",423

164,$385.40,404

29,"$1,638.30",49

248,$750.50,278

220,"$2,554.73",18

125,"$1,496.34",19

277,$334.99,372

230,"$4,779.66",146

40,$501.07,269

344,$277.00,205

8,$174.94,477

478,$877.52,97

363,$349.35,238

468,$204.01,172

357,"$1,510.70",156

315,$152.16,347

277,$712.55,439

129,$412.03,187

234,"$1,027.24",138

59,"$5,868.31",340

293,$729.65,278

265,"$1,928.72",274

47,$770.63,153

486,$296.42,475

416,"$1,108.68",122

427,"$2,937.26",484

310,"$3,768.77",18

190,$927.75,350

46,"$1,969.12",256

24,"$2,509.80",176

218,$845.02,301

271,$80.99,187

119,"$3,184.23",167

227,"$3,648.39",166

390,$613.87,282

238,$408.71,51

461,"$1,978.08",240

382,$702.02,133

104,"$1,052.62",230

449,$387.41,128

281,$525.34,62

183,$611.50,124

472,"$2,456.18",300

494,"$1,650.41",143

386,$405.67,398

86,"$3,500.95",438

372,$671.31,159

350,$527.38,4

24,$630.81,451

151,"$4,369.97",446

47,$898.65,179

179,"$3,822.12",143

435,$582.91,468

178,"$3,969.22",438

325,$131.78,227

270,$930.88,232

67,"$2,784.71",300

152,"$2,624.03",146

116,"$1,970.31",461

415,$248.38,420

132,$323.26,83

91,"$2,243.81",248

423,"$4,243.67",122

48,"$1,751.95",493

447,"$1,585.94",318

300,"$2,194.90",29

165,"$8,479.34",129

414,$93.70,276

376,$497.87,174

303,"$5,189.94",78

75,"$2,177.74",417

256,$718.00,135

350,$491.39,98

129,$190.66,425

106,"$1,301.15",176

182,$914.02,385

331,"$1,718.87",29

494,"$1,484.85",399

262,$587.26,297

424,"$2,431.66",379

212,"$5,068.11",38

339,"$2,066.00",68

308,$493.16,318

426,"$3,604.24",425

16,"$1,175.79",454

370,"$2,488.27",192

93,$488.04,231

105,$673.89,39

376,"$1,157.59",45

401,"$1,916.60",239

369,$531.19,405

18,"$1,886.26",84

491,$449.92,129

295,$924.49,80

492,"$1,786.32",432

90,"$1,499.57",366

450,"$2,487.22",130

24,$521.37,129

458,"$1,121.59",177

488,"$1,038.65",325

378,"$17,160.38",364

2,$215.21,9

233,"$2,661.06",52

376,$314.08,84

22,"$3,567.25",275

466,"$1,872.73",17

32,$502.96,16

220,"$1,924.93",15

53,"$2,324.87",299

298,$583.23,351

21,$824.22,379

403,"$1,024.73",481

372,"$6,835.45",141

274,"$1,408.55",466

23,"$2,166.54",375

202,$521.97,407

468,$374.59,147

432,$992.44,303

433,"$1,289.35",452

139,"$4,846.81",31

374,"$1,220.83",313

214,"$3,503.37",416

311,$684.81,11

457,"$1,306.07",183

228,$782.62,199

377,"$1,409.68",78

179,$652.88,398

455,$523.05,420

382,"$1,987.93",423

366,"$3,013.57",190

355,$532.99,496

183,"$2,981.32",354

445,$696.12,12

417,$450.18,216

412,$660.42,435

337,"$1,222.70",274

419,"$1,859.84",407

309,$641.72,435

461,$364.24,73

101,"$2,154.51",138

141,$937.73,77

262,$860.52,36

356,"$1,398.11",251

308,"$3,913.97",475

481,"$1,256.75",188

445,"$9,031.35",275

304,$593.86,387

264,"$1,214.48",459

418,$116.80,237

95,$881.76,261

282,$213.87,488

335,"$1,337.64",376

460,"$3,120.98",193

358,"$1,318.94",366

251,$701.98,218

151,$193.17,265

157,"$1,887.96",476

415,$711.81,192

344,"$1,118.08",457

56,"$1,267.40",468

34,"$2,485.27",158

44,"$1,999.82",269

227,"$1,156.42",335

107,$616.10,35

420,$57.00,296

224,$274.91,209

493,"$6,526.59",403

407,$760.04,245

186,$224.14,297

301,"$1,752.03",242

41,$107.78,332

400,"$1,566.43",494

300,$517.39,3

28,$965.87,95

78,$904.22,497

253,"$4,902.78",67

260,"$2,026.08",5

378,$347.58,86

406,"$2,605.27",111

189,"$1,851.24",420

272,$544.01,109

105,$391.09,403

456,"$2,115.89",452

198,$860.56,6

390,"$1,428.30",307

188,"$3,324.09",258

284,"$3,460.99",195

198,"$6,389.06",174

18,$186.08,427

196,"$1,496.15",400

347,"$2,792.25",174

5,$421.10,132

293,$519.24,18

111,$748.05,295

161,"$1,814.70",185

300,$825.18,328

264,"$1,845.08",488

159,"$3,290.69",151

460,$546.62,195

440,"$1,959.76",120

301,"$1,398.36",58

328,$815.32,65

176,"$1,393.67",35

362,"$4,360.47",154

386,"$1,701.10",308

259,$778.74,363

91,$821.82,79

252,"$1,497.39",61

397,"$2,312.67",297

325,"$3,047.20",414

289,$212.49,379

207,"$1,551.30",162

488,$562.82,318

407,$270.65,388

499,"$1,507.47",13

425,"$1,004.28",175

356,"$3,280.16",51

361,$395.71,451

476,"$2,800.64",279

73,"$1,154.92",493

316,"$1,100.02",463

194,"$6,289.30",111

29,"$1,110.41",282

13,$135.91,268

422,"$7,999.33",152

380,"$2,064.23",23

2,$569.28,387

311,$959.72,68

377,"$1,739.55",11

442,"$1,526.74",355

435,$456.02,311

243,$383.29,50

192,"$4,126.39",142

254,$450.15,309

379,$542.22,352

432,"$1,437.15",135

313,"$1,382.09",453

146,$134.86,152

219,"$1,016.54",409

172,$176.43,328

360,"$1,000.25",283

299,$352.88,477

313,"$1,744.13",209

328,$393.82,372

348,"$8,969.33",276

19,"$6,771.81",445

425,$702.48,449

361,$726.39,352

362,"$1,785.67",91

316,"$2,850.86",463

99,"$8,662.56",236

240,"$1,063.31",1

16,$752.40,344

231,$386.09,388

240,$465.80,221

351,$461.82,378

2,$593.66,371

209,"$5,399.14",378

84,"$1,182.24",297

44,$357.17,400

117,$243.76,179

59,"$2,793.48",393

319,"$1,159.01",96

243,"$1,015.36",108

145,"$3,318.77",300

341,$112.91,98

454,"$1,506.96",168

401,"$2,065.21",209

232,"$1,750.00",257

450,$361.84,183

143,"$2,418.29",478

159,$378.67,496

260,"$1,166.82",303

415,$82.73,139

192,"$6,005.68",49

220,"$1,246.61",204

223,"$5,878.81",257

392,$195.17,346

312,"$6,592.24",203

259,$781.79,307

208,$533.19,444

29,"$2,066.82",360

135,$97.59,64

464,$379.03,85

87,"$2,302.08",12

402,$805.35,370

36,$338.40,279

10,"$1,744.06",491

272,$832.35,408

36,$549.34,236

93,"$3,105.36",393

337,$972.97,217

499,$504.77,445

481,"$2,039.19",425

335,"$1,595.24",165

409,$908.98,167

402,"$1,704.66",103

94,"$6,007.65",271

430,"$10,773.76",153

147,$737.33,329

4,"$1,012.62",282

460,"$1,500.32",6

494,$857.20,346

356,$303.37,307

218,"$6,224.93",329

289,$700.98,387

13,"$3,070.40",353

298,"$1,274.22",388

305,$254.96,270

142,$288.46,377

170,"$3,135.64",191

264,"$2,192.04",54

178,$595.69,20

289,"$2,249.98",132

434,$567.19,144

409,"$1,984.83",1

133,"$1,207.13",473

88,$453.38,288

265,"$2,136.94",346

180,$831.23,105

322,"$1,412.64",395

68,$639.60,230

128,"$1,202.87",489

484,"$3,682.96",23

109,$566.62,110

498,"$1,454.51",255

35,$216.68,494

19,"$2,061.40",43

135,"$1,602.14",340

210,$891.83,30

141,"$1,856.66",67

136,$486.74,158

266,"$1,797.24",63

97,$509.58,235

309,"$3,298.12",276

214,$117.36,461

187,$280.95,29

411,$145.73,136

167,$641.35,128

80,$221.43,326

201,"$3,797.63",405

141,"$3,499.35",443

128,"$7,260.92",145

60,"$1,280.24",6

372,$209.34,328

63,$341.78,33

475,"$2,113.33",72

87,"$3,733.48",231

11,$826.00,305

17,$95.92,8

293,"$7,503.04",240

19,$126.66,129

186,$898.53,64

401,$231.43,315

131,"$1,004.97",124

493,"$2,058.61",412

70,"$1,332.16",161

354,$363.19,319

270,$577.70,172

87,$983.73,359

71,$212.96,66

192,$609.47,105

18,"$2,246.03",487

263,$610.47,389

129,$810.35,185

207,$126.30,146

445,$942.18,229

52,"$1,308.35",222

379,$165.78,120

214,"$1,384.43",97

236,"$1,223.74",395

22,$833.49,301

306,"$1,915.18",435

66,"$2,126.51",13

193,$827.79,95

98,$704.66,181

467,$520.84,282

207,$508.69,133

167,$541.04,377

218,$405.30,473

475,"$1,762.42",86

188,$340.59,270

260,"$1,484.39",306

16,"$1,562.35",63

9,$653.29,212

430,"$2,015.96",238

282,$966.64,288

153,$410.81,337

111,$253.24,330

113,"$1,691.47",226

222,"$1,035.78",199

391,$505.01,87

135,$504.57,310

488,"$1,082.18",112

210,"$3,254.79",293

207,$815.29,270

353,"$1,368.59",227

326,"$1,805.69",160

442,$674.74,492

113,"$5,573.97",171

100,"$5,819.24",373

261,"$1,650.93",3

16,"$2,795.58",306

378,$851.11,473

243,$351.56,271

255,"$3,852.96",7

430,"$1,292.86",307

384,"$2,977.95",452

114,"$1,289.42",237

356,"$1,459.47",491

203,$939.81,478

185,$664.79,226

330,$472.81,181

38,$383.08,107

9,$293.74,488

311,$361.86,324

416,"$2,463.75",17

49,$547.28,472

41,"$1,719.13",57

317,$107.09,251

435,"$1,468.50",159

238,"$1,711.95",89

387,$626.44,484

325,"$3,609.77",221

291,"$2,176.35",45

301,$434.56,50

241,$635.96,408

63,"$2,181.32",124

2,"$1,180.28",407

20,"$1,319.81",208

283,"$3,030.31",459

60,$480.06,16

404,$582.58,373

495,$674.14,303

5,"$1,800.20",127

144,"$1,814.62",178

183,"$6,243.35",376

42,$635.84,18

314,$210.58,209

143,"$3,746.85",123

74,$662.47,421

465,$443.13,309

11,"$7,170.95",38

350,"$2,988.00",224

346,$237.49,422

109,$901.21,262

418,"$1,115.88",99

459,"$1,200.89",33

228,"$1,389.33",213

460,"$1,459.95",467

175,"$2,252.36",217

382,"$1,103.33",25

147,"$2,650.16",100

131,$980.86,374

360,$570.12,253

166,$833.37,24

152,"$6,302.29",412

411,$849.81,168

105,$295.48,52

104,$571.66,332

464,$342.83,154

65,"$2,621.50",351

299,"$1,142.75",18

100,$156.29,298

245,$805.91,419

254,$510.83,338

167,"$1,586.94",289

366,"$2,753.50",218

84,$970.61,290

268,"$5,089.87",144

415,$140.39,40

94,$186.56,428

316,$437.42,309

241,"$1,042.21",413

312,$397.44,23

434,$296.54,53

107,$149.46,174

252,$523.90,447

486,$695.20,458

170,$442.11,45

279,$830.91,147

144,$291.14,353

170,$903.64,127

347,"$1,701.35",72

51,"$5,434.94",145

77,$849.33,245

233,$544.99,449

498,$583.70,47

280,"$1,314.36",16

96,"$2,995.16",264

197,"$1,332.26",411

344,$400.00,397

233,$473.97,468

230,"$1,623.77",484

112,$39.10,19

109,$746.91,196

170,$437.57,277

436,$751.55,409

425,$559.73,323

486,$468.79,200

8,"$1,043.77",273

451,$319.46,438

370,$841.14,336

63,"$1,799.15",383

172,$680.84,150

150,$831.36,229

234,"$2,518.07",22

353,"$1,626.98",160

69,$164.30,441

118,$824.88,278

203,$615.19,343

464,$510.76,48

303,$482.55,149

173,"$2,392.99",121

163,$511.92,408

41,$620.69,440

8,$333.59,186

337,$444.41,2

155,$441.33,133

433,$512.55,432

356,$686.83,228

413,"$3,210.33",204

60,"$1,302.49",18

158,$632.80,406

372,"$3,347.33",292

240,$288.49,16

24,$541.12,292

101,$134.48,257

352,$131.25,73

354,$327.54,14

351,$557.71,245

375,"$3,929.76",93

59,"$15,611.59",351

110,"$1,126.70",101

50,"$4,379.73",115

331,$766.12,36

462,$128.37,192

471,$596.26,352

135,$293.99,268

488,$85.43,69

245,"$6,566.79",440

283,$660.81,431

302,"$1,601.16",52

342,"$8,463.03",295

172,"$1,591.35",176

389,"$1,807.18",408

60,"$3,889.82",425

437,"$2,911.74",51

101,$516.72,32

356,"$1,708.93",218

368,$836.09,345

216,"$1,780.97",123

172,$425.03,294

301,"$1,276.22",401

440,"$6,180.14",339

491,"$1,273.98",79

177,"$1,742.26",405

270,"$1,731.11",499

241,"$1,202.55",447

431,$921.23,398

48,$378.26,264

264,$848.66,335

433,$920.54,28

314,"$5,286.21",451

33,$754.09,122

372,"$1,089.25",402

220,$320.41,265

90,$456.45,100

417,$565.29,99

41,"$2,544.19",162

457,$151.37,185

367,$959.39,375

3,"$3,385.19",253

273,$480.57,346

33,$503.07,454

105,"$12,304.80",262

13,"$2,022.63",97

228,$658.00,341

92,"$1,500.51",145

337,"$4,384.06",485

96,$223.12,205

387,$148.84,492

147,$481.22,335

351,"$1,721.34",214

353,"$6,426.58",236

443,"$1,579.29",73

306,$357.91,165

214,"$2,054.72",23

121,"$2,069.09",452

197,$176.43,275

343,"$3,503.54",407

488,"$1,714.58",118

471,"$3,613.36",202

98,"$2,770.30",190

344,"$1,999.82",178

288,"$1,747.99",330

46,"$2,666.08",32

484,$373.35,347

31,"$1,246.19",126

240,$773.53,207

14,"$3,321.91",116

333,$153.63,184

404,"$1,362.47",375

272,"$1,401.18",104

263,$394.93,109

187,$208.14,288

176,$981.94,263

329,"$2,572.36",206

387,"$3,218.37",167

307,$705.07,174

453,"$1,202.29",59

467,$551.54,143

407,$254.79,231

98,"$1,570.26",12

81,"$1,500.05",361

222,"$1,041.44",9

489,"$1,821.98",89

299,$568.21,313

59,"$2,439.08",317

454,"$1,858.38",324

54,$531.75,462

196,"$1,504.29",223

462,"$10,281.71",83

223,"$1,012.87",180

217,$586.21,490

451,$816.74,275

456,$180.42,196

449,$206.11,190

321,"$1,200.36",404

227,$816.78,286

115,$882.35,390

326,$679.83,153

76,$434.99,195

91,$748.64,193

181,$559.80,274

296,$250.27,244

265,$289.80,97

2,$512.16,451

55,"$2,328.53",378

33,"$1,678.44",283

437,$913.85,283

169,"$1,109.64",423

248,$98.59,459

99,"$11,057.92",334

251,$783.85,10

498,"$2,286.55",161

24,$451.91,288

220,"$3,493.31",330

162,$816.30,241

298,"$1,651.21",289

145,$413.55,256

283,$633.26,198

485,$941.37,425

353,"$1,318.20",170

